<<<<<<< HEAD
assign-to(Person400, Room301)
assign-to(Person498, Room174)
assign-to(Person377, Room60)
assign-to(Person497, Room47)
assign-to(Person134, Room141)
assign-to(Person128, Room58)
assign-to(Person248, Room296)
assign-to(Person127, Room263)
assign-to(Person489, Room48)
assign-to(Person480, Room297)
assign-to(Person242, Room176)
assign-to(Person362, Room45)
assign-to(Person241, Room298)
assign-to(Person482, Room177)
assign-to(Person481, Room46)
assign-to(Person360, Room299)
assign-to(Person367, Room178)
assign-to(Person366, Room223)
assign-to(Person244, Room102)
assign-to(Person123, Room142)
assign-to(Person364, Room224)
assign-to(Person243, Room225)
assign-to(Person118, Room226)
assign-to(Person479, Room105)
assign-to(Person478, Room106)
assign-to(Person357, Room227)
assign-to(Person150, Room228)
assign-to(Person154, Room107)
assign-to(Person274, Room229)
assign-to(Person153, Room108)
assign-to(Person272, Room109)
assign-to(Person399, Room59)
assign-to(Person278, Room10)
assign-to(Person277, Room11)
assign-to(Person397, Room14)
assign-to(Person385, Room220)
assign-to(Person264, Room15)
assign-to(Person142, Room221)
assign-to(Person389, Room100)
assign-to(Person267, Room222)
assign-to(Person265, Room13)
assign-to(Person450, Room264)
assign-to(Person333, Room101)
assign-to(Person212, Room18)
assign-to(Person452, Room19)
assign-to(Person446, Room16)
assign-to(Person445, Room17)
assign-to(Person208, Room234)
assign-to(Person440, Room113)
assign-to(Person323, Room235)
assign-to(Person202, Room114)
assign-to(Person442, Room236)
assign-to(Person200, Room115)
assign-to(Person441, Room237)
assign-to(Person320, Room116)
assign-to(Person316, Room117)
assign-to(Person315, Room239)
assign-to(Person314, Room118)
assign-to(Person319, Room119)
assign-to(Person352, Room21)
assign-to(Person351, Room22)
assign-to(Person230, Room20)
assign-to(Person470, Room145)
assign-to(Person477, Room25)
assign-to(Person356, Room230)
assign-to(Person354, Room26)
assign-to(Person112, Room231)
assign-to(Person353, Room232)
assign-to(Person228, Room23)
assign-to(Person104, Room111)
assign-to(Person109, Room24)
assign-to(Person461, Room233)
assign-to(Person460, Room112)
assign-to(Person224, Room3)
assign-to(Person103, Room245)
assign-to(Person344, Room124)
assign-to(Person222, Room4)
assign-to(Person101, Room125)
assign-to(Person221, Room126)
assign-to(Person338, Room6)
assign-to(Person217, Room248)
assign-to(Person216, Room127)
assign-to(Person336, Room7)
assign-to(Person456, Room128)
assign-to(Person339, Room8)
assign-to(Person218, Room129)
assign-to(Person312, Room267)
assign-to(Person311, Room9)
assign-to(Person431, Room120)
assign-to(Person426, Room242)
assign-to(Person309, Room121)
assign-to(Person422, Room0)
assign-to(Person419, Room122)
assign-to(Person85, Room1)
assign-to(Person84, Room244)
assign-to(Person82, Room123)
assign-to(Person72, Room2)
assign-to(Person92, Room147)
assign-to(Person48, Room135)
assign-to(Person47, Room257)
assign-to(Person41, Room136)
assign-to(Person44, Room258)
assign-to(Person38, Room137)
assign-to(Person37, Room139)
assign-to(Person35, Room250)
assign-to(Person67, Room251)
assign-to(Person66, Room130)
assign-to(Person52, Room252)
assign-to(Person54, Room131)
assign-to(Person27, Room253)
assign-to(Person20, Room132)
assign-to(Person21, Room254)
assign-to(Person18, Room133)
assign-to(Person12, Room50)
assign-to(Person9, Room255)
assign-to(Person6, Room134)
assign-to(Person171, Room51)
assign-to(Person170, Room52)
assign-to(Person297, Room9)
assign-to(Person296, Room120)
assign-to(Person173, Room242)
assign-to(Person177, Room261)
assign-to(Person284, Room54)
assign-to(Person163, Room121)
assign-to(Person169, Room0)
assign-to(Person289, Room55)
assign-to(Person194, Room122)
assign-to(Person192, Room134)
assign-to(Person198, Room1)
assign-to(Person185, Room53)
assign-to(Person491, Room244)
assign-to(Person495, Room123)
assign-to(Person253, Room130)
assign-to(Person131, Room262)
assign-to(Person492, Room2)
assign-to(Person499, Room135)
assign-to(Person257, Room257)
assign-to(Person256, Room136)
assign-to(Person135, Room258)
assign-to(Person254, Room137)
assign-to(Person133, Room139)
assign-to(Person129, Room252)
assign-to(Person247, Room250)
assign-to(Person484, Room251)
assign-to(Person483, Room131)
assign-to(Person124, Room253)
assign-to(Person486, Room132)
assign-to(Person239, Room254)
assign-to(Person117, Room133)
assign-to(Person237, Room255)
assign-to(Person392, Room143)
assign-to(Person390, Room56)
assign-to(Person279, Room265)
assign-to(Person147, Room144)
assign-to(Person145, Room266)
assign-to(Person379, Room102)
assign-to(Person258, Room287)
assign-to(Person330, Room278)
assign-to(Person454, Room17)
assign-to(Person332, Room157)
assign-to(Person211, Room14)
assign-to(Person331, Room10)
assign-to(Person448, Room299)
assign-to(Person329, Room69)
assign-to(Person436, Room117)
assign-to(Person318, Room171)
assign-to(Person235, Room31)
assign-to(Person474, Room174)
assign-to(Person107, Room161)
assign-to(Person348, Room158)
assign-to(Person105, Room275)
assign-to(Person340, Room7)
assign-to(Person466, Room176)
assign-to(Person102, Room4)
assign-to(Person343, Room33)
assign-to(Person458, Room284)
assign-to(Person337, Room8)
assign-to(Person335, Room23)
assign-to(Person433, Room279)
assign-to(Person424, Room62)
assign-to(Person429, Room270)
assign-to(Person300, Room221)
assign-to(Person89, Room235)
assign-to(Person75, Room67)
assign-to(Person78, Room28)
assign-to(Person77, Room44)
assign-to(Person96, Room66)
assign-to(Person94, Room271)
assign-to(Person93, Room63)
assign-to(Person46, Room273)
assign-to(Person31, Room227)
assign-to(Person30, Room231)
assign-to(Person58, Room151)
assign-to(Person56, Room281)
assign-to(Person25, Room46)
assign-to(Person11, Room16)
assign-to(Person1, Room36)
assign-to(Person0, Room160)
assign-to(Person290, Room18)
assign-to(Person295, Room152)
assign-to(Person179, Room68)
assign-to(Person178, Room42)
assign-to(Person168, Room170)
assign-to(Person182, Room3)
assign-to(Person181, Room154)
assign-to(Person186, Room232)
assign-to(Person189, Room155)
assign-to(Person490, Room19)
assign-to(Person373, Room276)
assign-to(Person371, Room43)
assign-to(Person496, Room29)
assign-to(Person369, Room13)
assign-to(Person363, Room27)
assign-to(Person121, Room162)
assign-to(Person365, Room163)
assign-to(Person122, Room37)
assign-to(Person359, Room237)
assign-to(Person391, Room34)
assign-to(Person396, Room290)
assign-to(Person394, Room40)
assign-to(Person393, Room41)
assign-to(Person157, Room153)
assign-to(Person398, Room224)
assign-to(Person156, Room226)
assign-to(Person276, Room106)
assign-to(Person383, Room228)
assign-to(Person141, Room11)
assign-to(Person268, Room107)
assign-to(Person387, Room118)
assign-to(Person266, Room229)
assign-to(Person144, Room105)
assign-to(Person139, Room109)
assign-to(Person138, Room156)
assign-to(Person213, Room220)
assign-to(Person327, Room15)
assign-to(Person206, Room222)
assign-to(Person326, Room234)
assign-to(Person205, Room111)
assign-to(Person325, Room114)
assign-to(Person324, Room236)
assign-to(Person203, Room116)
assign-to(Person209, Room239)
assign-to(Person207, Room21)
assign-to(Person443, Room6)
assign-to(Person437, Room233)
assign-to(Person435, Room30)
assign-to(Person313, Room245)
assign-to(Person438, Room124)
assign-to(Person317, Room125)
assign-to(Person231, Room126)
assign-to(Person110, Room292)
assign-to(Person472, Room127)
assign-to(Person471, Room129)
assign-to(Person350, Room159)
assign-to(Person476, Room61)
assign-to(Person234, Room272)
assign-to(Person475, Room286)
assign-to(Person233, Room274)
assign-to(Person232, Room280)
assign-to(Person469, Room168)
assign-to(Person227, Room169)
assign-to(Person106, Room283)
assign-to(Person225, Room285)
assign-to(Person108, Room35)
assign-to(Person462, Room167)
assign-to(Person341, Room38)
assign-to(Person220, Room179)
assign-to(Person465, Room172)
assign-to(Person223, Room225)
assign-to(Person463, Room295)
assign-to(Person342, Room47)
assign-to(Person459, Room296)
assign-to(Person457, Room48)
assign-to(Person215, Room297)
//utility=-18100, 500/500 people assgined.
//searched 89197 nodes, including 1 solution(s) found
=======
assign-to(Thomas, C5119)
<<<<<<< HEAD
assign-to(Hans, C5123)
assign-to(Joachim, C5117)
assign-to(Katharina, C5120)
assign-to(Eva, C5122)
assign-to(Ulrike, C5121)
assign-to(Monika, C5116)
assign-to(Andy, C5115)
assign-to(Uwe, C5114)
assign-to(Michael, C5121)
assign-to(Werner, C5121)
assign-to(Jurgen, C5121)
assign-to(Harry, C5121)
assign-to(Marc, C5113)
assign-to(Angi, C5116)
//utility=-176, 15/15 people assgined.
//searched 2139 nodes, including 161 solution(s) found
=======
assign-to(Hans, C5117)
assign-to(Joachim, C5120)
assign-to(Katharina, C5121)
assign-to(Eva, C5116)
assign-to(Ulrike, C5122)
assign-to(Monika, C5115)
assign-to(Andy, C5123)
assign-to(Uwe, C5123)
assign-to(Michael, C5122)
assign-to(Werner, C5114)
assign-to(Jurgen, C5113)
assign-to(Harry, C5113)
assign-to(Marc, C5114)
assign-to(Angi, C5115)
//utility=-166, 15/15 people assgined.
//searched 2625275 nodes, including 913101 solution(s) found
>>>>>>> branch 'master' of https://gitlab.com/chrishawk9/sisDist.git
>>>>>>> branch 'master' of https://gitlab.com/chrishawk9/sisDist.git

